,GBP,EUR,JPY,INR,CAD,BRL,MXN,AUD
2015-01-01,1.5587366799,1.2141,0.008359843,0.0158252845,0.8633293038,0.3769677399,0.0679486677,0.8187335626
2015-02-01,1.5051258155,1.1305,0.0084948903,0.0161239023,0.7892899532,0.3754067875,0.0671390054,0.7777777778
2015-03-01,1.5443803243,1.124,0.008384931,0.016176805,0.80314398,0.3450075202,0.0666180663,0.7828388355
2015-04-01,1.476321208,1.0755,0.0083185088,0.0160006308,0.7889524648,0.3163793611,0.0656405061,0.7599095598
2015-05-01,1.5432778313,1.1215,0.0084158787,0.0157480204,0.8319732938,0.3374759268,0.0656254754,0.7919638444
2015-06-01,1.5215849844,1.0944,0.0080595036,0.0156988078,0.8004095663,0.3120971882,0.0648444953,0.7631266997
2015-07-01,1.5654749312,1.11,0.0081241309,0.0157220233,0.7984462667,0.3221967432,0.0636132316,0.767741043
2015-08-01,1.5575912512,1.0967,0.0080438609,0.0155918121,0.7663871419,0.2966138368,0.0617953153,0.7243725231
2015-09-01,1.5332969432,1.1236,0.0083309854,0.0150807456,0.7563274098,0.2736083378,0.0592944405,0.7041865129
2015-10-01,1.5139133976,1.1153,0.0083505541,0.0152642607,0.7536320022,0.2533448425,0.0593102715,0.7069151296
2015-11-01,1.5339738234,1.1017,0.0082909392,0.0152980955,0.7590079228,0.2578644322,0.0603681156,0.7087622234
2015-12-01,1.5065378056,1.06,0.0081182507,0.0150328382,0.750814563,0.2569385529,0.0605437514,0.7290233838
2016-01-01,1.483343552,1.0887,0.0083062486,0.0151163194,0.7202302196,0.2524990143,0.0575590156,0.7308182856
2016-02-01,1.4302233903,1.0884,0.0082460792,0.0147260181,0.7135645447,0.2501436418,0.0547454618,0.7078103661
2016-03-01,1.3974293059,1.0872,0.0088433382,0.0147376983,0.7396421525,0.2498219169,0.0555056363,0.7154514346
2016-04-01,1.4309675804,1.1432,0.0089263684,0.015071296,0.7675574057,0.2768306858,0.0574483909,0.7680730986
2016-05-01,1.461454662,1.1403,0.0093207455,0.0150637067,0.7981940361,0.2869545523,0.0583064887,0.7628445277
2016-06-01,1.4444530624,1.1174,0.0091537642,0.0148239539,0.7660770602,0.2778841611,0.0541032581,0.7270006506
2016-07-01,1.3282834308,1.1135,0.0097427596,0.0148526473,0.7738012509,0.3107123922,0.0551745667,0.7481187853
2016-08-01,1.3205583156,1.1164,0.0097689884,0.0149924796,0.7653390005,0.3070322598,0.0533381747,0.7568300454
2016-09-01,1.3261154075,1.1146,0.0096427027,0.0149344124,0.7616509498,0.3093876645,0.0531901694,0.7530572259
2016-10-01,1.2962382263,1.1161,0.0098691308,0.0150083036,0.75976855,0.3082297708,0.0513411442,0.7614791567
2016-11-01,1.2226497954,1.1025,0.0095396729,0.0149913315,0.7484725051,0.3128635886,0.0529589778,0.7687748414
2016-12-01,1.2636447954,1.0627,0.0087544279,0.0146302848,0.7462780899,0.2903789928,0.0484494534,0.7391153151
2017-01-01,1.2311663435,1.0541,0.0085421394,0.0147234037,0.7429517902,0.3072729923,0.0484156183,0.72218416
2017-02-01,1.263199794,1.079,0.0088261759,0.0148307997,0.7654110804,0.3181201722,0.0482979342,0.7585237258
2017-03-01,1.2312098188,1.0533,0.008789219,0.0149624979,0.75,0.3214416504,0.049895784,0.7659249564
2017-04-01,1.2496347293,1.0691,0.0089427018,0.0154056761,0.7494567122,0.3163017751,0.0534082678,0.7646259476
2017-05-01,1.2939045612,1.093,0.0089766754,0.0155561723,0.7328684458,0.3148222824,0.0526746988,0.7471460797
2017-06-01,1.2861400894,1.1219,0.0090090741,0.0155122471,0.7402837347,0.3104746091,0.0536283634,0.738967198
2017-07-01,1.2978062843,1.1412,0.0089330724,0.0154750524,0.771863375,0.3035106383,0.0554413887,0.7684331021
2017-08-01,1.3206618962,1.1812,0.0090492607,0.0156007106,0.8015199837,0.3202819957,0.0562414593,0.7974076824
2017-09-01,1.2945967961,1.192,0.0090791378,0.015616914,0.8037761295,0.3185206958,0.0560656231,0.7935556887
2017-10-01,1.3388827145,1.1806,0.0088887216,0.0153187403,0.8038401307,0.3136973562,0.0550103907,0.7831509121
2017-11-01,1.3288321794,1.1612,0.0087571644,0.0154799835,0.7748565328,0.3043774574,0.0521266806,0.7671775899
2017-12-01,1.3488055382,1.1885,0.0088893044,0.0155045333,0.7767466179,0.3061250773,0.0535500266,0.7573440387
2018-01-01,1.3517351758,1.1993,0.0088830457,0.0156555339,0.7974599375,0.3018701704,0.0506863557,0.7815065815
2018-02-01,1.4235603291,1.2459,0.0091194554,0.0156194369,0.8117670055,0.3155135737,0.0538627815,0.8003468876
2018-03-01,1.3749435156,1.2171,0.0093637483,0.015343305,0.7775009582,0.3062657272,0.0528337761,0.7729582116
2018-04-01,1.4082752315,1.2321,0.0093945864,0.0153444754,0.7751494181,0.3009673164,0.0546994659,0.7683337491
2018-05-01,1.3732378354,1.2079,0.0091424463,0.0150670151,0.7771844036,0.2880616236,0.0534523425,0.7543246113
2018-06-01,1.3308622263,1.1669,0.0091349616,0.0149002733,0.7706379606,0.26714132,0.0501172509,0.753130244
2018-07-01,1.3157271034,1.1658,0.0090344079,0.014606643,0.7549540215,0.2597825118,0.0509490117,0.7384556914
2018-08-01,1.3135669362,1.1696,0.0089412124,0.0146253931,0.767907557,0.2656491324,0.0536415337,0.7418024989
2018-09-01,1.298306218,1.1651,0.0090282836,0.0140840984,0.7669167983,0.2397769134,0.0520999159,0.7223634447
2018-10-01,1.3029030737,1.1606,0.0087758034,0.0137151906,0.7806551423,0.2476263628,0.0538231802,0.722215308
2018-11-01,1.2921189026,1.1393,0.0088647681,0.0136149618,0.7644256575,0.2707590665,0.0495526647,0.7184839503
2018-12-01,1.2753177348,1.1359,0.008806109,0.0143636628,0.7514554115,0.2590835481,0.049192326,0.7297783489
2019-01-01,1.2800017886,1.145,0.0090981327,0.0143610043,0.7337391862,0.2576507651,0.0509067628,0.705918619
2019-02-01,1.3051838704,1.1471,0.0091834121,0.0140282007,0.7609286899,0.2724056044,0.0522703971,0.7265184622
2019-03-01,1.3240973385,1.1383,0.0089383589,0.0141062024,0.7603366509,0.2644933429,0.0517550241,0.7114375
2019-04-01,1.3117280347,1.1236,0.0090118704,0.0144257496,0.7487671598,0.257919383,0.0519134898,0.7122662441
2019-05-01,1.3006678416,1.1218,0.0089794285,0.0143707205,0.744145937,0.2546651532,0.0527089823,0.705046823
2019-06-01,1.2572581827,1.1151,0.0091951843,0.0143437826,0.737743963,0.2507984346,0.0509359498,0.6910634606
2019-07-01,1.2649635525,1.1349,0.0092320833,0.0145061097,0.7634198843,0.2612869805,0.0522937555,0.6994330088
2019-08-01,1.2108612178,1.1037,0.0091837244,0.014470579,0.7558553623,0.2613978164,0.0520473269,0.6840409049
2019-09-01,1.2185722961,1.1036,0.0094099591,0.013998592,0.7528994406,0.2405457835,0.0498088614,0.6730089035
2019-10-01,1.2251138216,1.0898,0.0092355932,0.0140633872,0.7533526891,0.2401286797,0.0505503579,0.6696571218
2019-11-01,1.2951120826,1.1139,0.0092493565,0.0141329172,0.758684103,0.2506694871,0.0522555403,0.6896786577
2019-12-01,1.288589029,1.0982,0.0091189903,0.0139564734,0.751471192,0.2363804645,0.0512021932,0.6767315751
2020-01-01,1.3204043253,1.1234,0.0092127276,0.0140097522,0.7695574736,0.2487764909,0.0529401231,0.7023444827
2020-02-01,1.312978913,1.1052,0.0091832156,0.0140066282,0.7555889793,0.2343660538,0.0531233777,0.6700618407
2020-03-01,1.2866436148,1.0977,0.0091965483,0.0138449896,0.7438503761,0.2229647384,0.0507325415,0.6504888889
2020-04-01,1.2362649785,1.0936,0.0093032752,0.0130812771,0.7009807064,0.1906920783,0.0414090277,0.6057718939
2020-05-01,1.2514815028,1.0876,0.0093863813,0.0133266675,0.7213636665,0.1857081875,0.0421627196,0.6552596698
2020-06-01,1.2396150458,1.1116,0.0092826722,0.013243108,0.7299711059,0.1875295229,0.045460494,0.6741872877
2020-07-01,1.2385270375,1.12,0.0093092843,0.0132353289,0.7360189262,0.1837270341,0.0435789187,0.6884681583
2020-08-01,1.3156696612,1.1848,0.0095310112,0.0133671046,0.745250975,0.1935346869,0.0450871451,0.718583212
2020-09-01,1.3472323686,1.1987,0.009444532,0.0137137693,0.7683974359,0.1840585941,0.0460546032,0.7380248738
2020-10-01,1.2953716257,1.1752,0.0094789482,0.013692581,0.7525614754,0.1785448413,0.0457696562,0.7201421656
2020-11-01,1.2967807733,1.1698,0.0095603138,0.0134287666,0.7519928002,0.17302942,0.0470903645,0.7062730182
2020-12-01,1.332769104,1.1968,0.0095805315,0.0135763186,0.7710346605,0.1882560206,0.0497702368,0.7354061693
